Identifiant de l'équipement,Equipement,Code thème,Thème,Code catégorie,Catégorie,Code type,Type,Statut,Commune,Adresse,Téléphone,Web,Code postal,latitude,longitude
11,Bibliothèque Breil Malville,1,CULTURE,103,Médiathèque,10301,Bibliothèque,Non renseigné,NANTES,37B Rue des Plantes,,,44100,47.233034852,-1.58610757767
1121,Musée d'Histoire de Nantes - Château des Ducs de Bretagne,1,CULTURE,101,Musée, Château,10102,Musée,Non renseigné,,,,44000,47.2160563713,-1.55001052667
127,Musée Thomas-Dobrée,1,CULTURE,101,Musée, Château,10102,Musée,Non renseigné,,,,44000,47.2126357915,-1.56657546124
1448,Bibliothèque Espace Vittoria Clos Toreau,1,CULTURE,103,Médiathèque,10301,Bibliothèque,Non renseigné,NANTES,Place du Pays Basque,,,44200,47.1945427343,-1.5282554628
147,Pigeonnier Nantes,1,CULTURE,104,Monument,,,Non renseigné,NANTES,4 Place Vincent Auriol,,,44100,47.2219422318,-1.59276495659
17,Médiathèque Espace Jacques Demy,1,CULTURE,103,Médiathèque,10303,Médiathèque,Non renseigné,NANTES,24 Quai de la Fosse,,,44000,47.2111500154,-1.5621552251
1809,Bibliothèque Paul Eluard,1,CULTURE,103,Médiathèque,10301,Bibliothèque,Associatif,,,,,44800,47.2341388754,-1.58560852342
2376,Château de La Sénaigerie,1,CULTURE,101,Musée, Château,10101,Château,Privé,BOUAYE,Rue de la Sénaigerie,,44830,47.1357846414,-1.679597149
2458,Le Haut Moulin Saint léger les Vignes,1,CULTURE,104,Monument,,,Non renseigné,SAINT-LEGER-LES-VIGNES,16 Rue de Nantes,,,44710,47.1360737339,-1.72701145972
2495,Maison des Arts,1,CULTURE,105,Ecole Culturelle,,,Non renseigné,,,,,44640,47.2022146981,-1.75525575894
2522,Médiathèque Yves et Raymond Gaudin,1,CULTURE,103,Médiathèque,10303,Médiathèque,Non renseigné,,,,,44620,47.1915905352,-1.68511274103
2525,Maison de la Musique La Montagne,1,CULTURE,105,Ecole Culturelle,,,Non renseigné,,,,,44620,47.191336165,-1.68500165785
2611,Château de La Poterie,1,CULTURE,101,Musée, Château,10101,Château,Non renseigné,LA-CHAPELLE-SUR-ERDRE,Rue de Cotalard,,44240,47.2833984227,-1.53008390289
2628,Centre d'Expression et de Créativité du Moulin Gautron,1,CULTURE,107,Salle de spectacle,,,Non renseigné,VERTOU,9 Rue de l'Industrie,,,44120,47.1664653662,-1.48222765941
2732,Bibliothèque de la Chapelaine,1,CULTURE,103,Médiathèque,10301,Bibliothèque,Non renseigné,,,,,44240,47.3012762045,-1.54838383109
2733,Bibliothèque Municipale,1,CULTURE,103,Médiathèque,10301,Bibliothèque,Non renseigné,LA-CHAPELLE-SUR-ERDRE,4 Place Dominique Savelli,,,44240,47.2959223408,-1.55035602342
2743,Bibliothèque Brains,1,CULTURE,103,Médiathèque,10301,Bibliothèque,Non renseigné,BRAINS,1 Rue des Clos Mâts,,,44830,47.168249458,-1.72057629377
3162,Espace Culturel et de Congrès de La Fleuriaye,1,CULTURE,107,Salle de spectacle,,,Public,CARQUEFOU,Boulevard Ampère,,,44470,47.2997932173,-1.50124665779
3266,Théâtre Municipal de Rezé,1,CULTURE,107,Salle de spectacle,,,Non renseigné,REZE,Rue Guy Le Lan,,,44400,47.1866058455,-1.54533047982
3437,Centre Culturel de la Gobinière - Théâtre de la Gobinière,1,CULTURE,107,Salle de spectacle,,,Non renseigné,,,,,44700,47.2494127404,-1.58553837521
3580,Le Cabanier Théâtre,1,CULTURE,107,Salle de spectacle,,,Non renseigné,NANTES,6 Rue Ameline,,,44000,47.2288539743,-1.55831454745
4092,Galerie RDV,1,CULTURE,106,Salle d'exposition,,,Non renseigné,,,,,44000,47.2171629425,-1.54580104059
4094,La Scène Michelet,1,CULTURE,107,Salle de spectacle,,,Non renseigné,,,,,44000,47.2328598142,-1.55689374333
4148,Bibliothèque Expression Livre,1,CULTURE,103,Médiathèque,10301,Bibliothèque,Non renseigné,,,,,44200,47.1924303278,-1.53380882266
4189,Chateau de la Sauvagerie,1,CULTURE,104,Monument,,,Non renseigné,BRAINS,Voie Non Dénommée 0240907,,,44830,47.1649948516,-1.71623466517
4256,Ecole de Musique,1,CULTURE,105,Ecole Culturelle,,,Non renseigné,SAUTRON,25 Rue de la Forêt,,,44880,47.2652977448,-1.68046873295
4844,Espace d'exposition les Renaudières,1,CULTURE,106,Salle d'exposition,,,Public,CARQUEFOU,Allée des Renaudières,,,44470,47.3001520581,-1.51323387471
4920,Salle des macres,1,CULTURE,107,Salle de spectacle,,,Non renseigné,BOUAYE,Rue du Stade,,,44830,47.1504258853,-1.69585771655
941,Ludothèque Boissière,1,CULTURE,103,Médiathèque,10302,Ludothèque,Non renseigné,,,,,44300,47.2543883025,-1.5672405022
944,Ludothèque Clos Toreau,1,CULTURE,103,Médiathèque,10302,Ludothèque,Non renseigné,NANTES,4 Place du Muguet Nantais,,,44200,47.1943842628,-1.52812787274
130,Musée d'arts de Nantes,1,CULTURE,101,Musée, Château,10102,Musée,Municipal,NANTES,10 Rue Georges Clemenceau,,44000,47.2195914348,-1.54738925873
1332,Studio Théâtre,1,CULTURE,107,Salle de spectacle,,,Non renseigné,NANTES,5 Rue du Ballet,,,44000,47.2310612012,-1.55792727015
141,Théâtre Graslin,1,CULTURE,107,Salle de spectacle,,,Non renseigné,NANTES,1T Place Graslin,,,44000,47.213438333,-1.56222079757
1413,Château de Procé,1,CULTURE,104,Monument,,,Non renseigné,NANTES,44 Rue des Dervallières,,,44000,47.2232389031,-1.58091314716
145,La Fabrique Chantenay-Bellevue,1,CULTURE,107,Salle de spectacle,,,Non renseigné,NANTES,30 Boulevard de la Liberté,,,44100,47.1996251928,-1.58882874362
1456,Bibliothèque pour Tous Cacault,1,CULTURE,103,Médiathèque,10301,Bibliothèque,Non renseigné,,,,,44000,47.2166287905,-1.55775635876
146,Planétarium,1,CULTURE,101,Musée, Château,10102,Musée,Non renseigné,,,,44100,47.2022418574,-1.57750491244
162,Espace Culturel Bréchoir,1,CULTURE,107,Salle de spectacle,,,Non renseigné,NANTES,1 Rue Jules Bréchoir,,,44000,47.225298338,-1.52299624536
1829,Bibliothèque Bourg,1,CULTURE,103,Médiathèque,10301,Bibliothèque,Public,ST-HERBLAIN,126 Boulevard François Mitterrand,,,44800,47.2131452764,-1.648929038
1911,Cinéma Pathé Atlantis,1,CULTURE,108,Cinéma,,,Privé,ST-HERBLAIN,Allée la Pérouse,,,44800,47.2224263352,-1.62882299984
