Identifiant de l'équipement,Equipement,Code thème,Thème,Code catégorie,Catégorie,Code type,Type,Statut,Commune,Adresse,Téléphone,Web,Code postal,latitude,longitude
1061,Plaine de Jeux Grand Blottereau,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60117,Terrain de grands jeux,Ville de Nantes,NANTES,Boulevard Auguste Péneau,,,44300,47.2254406712,-1.50964696949
112,Piscine Dervallières - Nantes,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60112,Piscine,Ville de Nantes,NANTES,21 Rue Professeur Dubuisson,,,44100,47.2275397158,-1.59218618843
1831,Gymnase Le Hérault,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60109,Gymnase,Public,ST-HERBLAIN,Avenue Alain Gerbault,,,44800,47.2350579491,-1.59992583114
1843,Centre Sportif du Vigneau,6,SPORT ET LOISIRS,601,Salle et terrain de sport,,,Public,ST-HERBLAIN,Boulevard Salvador Allende,,,44800,47.2179570956,-1.62222094646
2039,Gymnase Savarières,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60109,Gymnase,Public,ST-SEBASTIEN,Avenue de Glinde,,,44230,47.2094370357,-1.48756396053
2153,Practice de golf,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60108,Golf,Public,ST-SEBASTIEN,Boulevard des Pas Enchantés,,,44230,47.213172137,-1.49257395944
2156,Stade Maurice Thollé,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60115,Stade,Public,ST-SEBASTIEN,Boulevard des Pas Enchantés,,,44230,47.2112714757,-1.50375233134
2202,Stade de Beauvoir,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60115,Stade,Public,BOUGUENAIS,Chemin du Halage,,,44340,47.1813384636,-1.63094056661
2434,Piscine Daniel Gilard - Carquefou,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60112,Piscine,Public,CARQUEFOU,10 Rue Pierre Mendes France,,,44470,47.3024911791,-1.49260361891
2444,Centre Sportif Paul Langevin,6,SPORT ET LOISIRS,601,Salle et terrain de sport,,,Non renseigné,COUERON,Boulevard Paul Langevin,,,44220,47.2145172786,-1.72112927217
2528,Stade de football municipal La Montagne,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60115,Stade,Non renseigné,LA-MONTAGNE,Allée du Château d'Aux,,,44620,47.1827452591,-1.67456709905
2540,Ensemble sportif René Gautier,6,SPORT ET LOISIRS,601,Salle et terrain de sport,,,Non renseigné,BOUAYE,Esplanade de l'Edit de Nantes,,,44830,47.1551489028,-1.68226632997
2571,Stade Vincent et Robert Girard,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60115,Stade,Privé,VERTOU,Rue de la Maladrie,,,44120,47.1847635195,-1.49234524012
2653,Complexe Sportif de La Robinière,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60117,Terrain de grands jeux,Public,REZE,Rue des Poyaux,,,44400,47.1636639452,-1.53122004041
2659,Gymnase Lucien Cavalin,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60109,Gymnase,Non renseigné,REZE,Rue des Frères Lumière,,,44400,47.1805107966,-1.55943409617
2666,Gymnase Ouche Dinier,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60109,Gymnase,Non renseigné,REZE,Rue du Parc Ferrand,,,44400,47.1762262911,-1.53696348765
